gene,correlation,p_value
ENSG00000090889.11,0.20962484082235233,0.0001548225119464992
ENSG00000163520.13,0.20959877622588768,0.0001551221867207257
ENSG00000154839.9,0.20959292732763737,0.00015518950837969207
ENSG00000151067.20,0.20949513907209016,0.0001563191272755445
ENSG00000203266.2,0.209490990333991,0.00015636722208073694
ENSG00000278980.1,0.209490990333991,0.00015636722208073694
ENSG00000234570.1,0.2094848949120204,0.00015643790922453506
ENSG00000222022.1,0.20942815998296843,0.0001570972880070962
ENSG00000204262.11,0.20942749704557723,0.00015710500809388623
ENSG00000261520.5,0.20891649673251494,0.00016316261729451984
ENSG00000260158.1,0.20890902498345992,0.0001632527916123864
ENSG00000225055.1,0.20889137103915126,0.00016346603725321437
ENSG00000255737.2,0.20887443237407224,0.000163670888069042
ENSG00000229647.1,0.20886220251348978,0.0001638189415190924
ENSG00000269791.5,0.20870006143042527,0.00016579369545343127
ENSG00000121211.7,0.20867313503482435,0.00016612378854136334
ENSG00000135845.9,0.20848617325563248,0.0001684327958153433
ENSG00000078098.13,0.20829690995223393,0.0001708008061793493
ENSG00000176463.13,0.20827892468796763,0.00017102744705146337
ENSG00000251521.2,0.2081878288856054,0.0001721797192114758
ENSG00000112562.18,0.20810252138073349,0.00017326536063500848
ENSG00000088325.15,0.20809873572090504,0.00017331368591046593
ENSG00000115414.18,0.20804931877407534,0.00017394566893124446
ENSG00000198573.6,0.20790717285594548,0.00017577559055171834
ENSG00000253539.1,0.2077834127518604,0.00017738347890145436
ENSG00000224035.1,0.20771993927174637,0.000178213455181257
ENSG00000140534.13,0.20770219714820892,0.00017844609946059554
ENSG00000233581.1,0.20767967714524546,0.00017874180320718645
ENSG00000105664.10,0.20753547264269076,0.00018064620815081933
ENSG00000254208.1,0.20749418802464153,0.0001811949104164696
ENSG00000121152.9,0.20745242647790796,0.00018175153780858718
ENSG00000267073.1,0.2073515471373177,0.00018310273666342499
ENSG00000259022.2,0.2072938853343265,0.00018387928661186005
ENSG00000260910.1,0.20695105472297837,0.00018856028849095183
ENSG00000162727.3,0.2068782716093056,0.00018956830772866897
ENSG00000217236.1,0.20683009216121834,0.00019023834573182494
ENSG00000164758.7,0.20678029679232515,0.00019093318413347456
ENSG00000116132.11,0.20675712106853897,0.00019125738420468062
ENSG00000248420.1,0.20650942358805827,0.00019475467909959925
ENSG00000171999.7,0.20643254066849087,0.00019585231118893288
ENSG00000184661.13,0.20627777400739403,0.00019807943127851527
ENSG00000187483.9,0.20620099047946006,0.00019919312863912693
ENSG00000186268.3,0.2060897287771012,0.000200817303721931
ENSG00000228714.2,0.20606365784602543,0.00020119966831266643
ENSG00000145220.13,0.20602240171488198,0.00020180613512034196
ENSG00000095752.6,0.20596107775484698,0.00020271075909404583
ENSG00000106236.3,0.20588684813878408,0.000203810833745711
ENSG00000105011.8,0.20580367458578502,0.00020505008623511906
ENSG00000259761.1,0.20578562297104752,0.00020531997677657892
ENSG00000127589.4,0.2057249005578902,0.00020623027990314264
ENSG00000091879.13,0.2056323728225277,0.00020762464127313708
ENSG00000279056.1,0.20550952774863201,0.00020948949468289042
ENSG00000231874.3,0.20549765035701484,0.00020967062745904806
ENSG00000234583.1,0.20549765035701484,0.00020967062745904806
ENSG00000269228.1,0.20549620799477072,0.0002096926337589805
ENSG00000162063.12,0.20532342174761725,0.00021234453155071273
ENSG00000258028.1,0.2052829816507355,0.00021296971066884918
